iter	Passed	Remaining
249	5158	11348
250	5176	11322
251	5190	11287
252	5204	11252
253	5218	11218
254	5234	11187
255	5251	11158
256	5266	11127
257	5280	11092
258	5304	11080
259	5320	11050
260	5336	11019
261	5351	10988
262	5366	10957
263	5382	10928
264	5397	10896
265	5416	10874
266	5433	10847
267	5449	10817
268	5466	10791
269	5481	10760
270	5496	10730
271	5513	10702
272	5534	10682
273	5547	10650
274	5562	10618
275	5578	10590
276	5592	10558
277	5604	10524
278	5617	10490
279	5641	10477
280	5657	10449
281	5673	10422
282	5692	10400
283	5708	10371
284	5726	10347
285	5745	10326
286	5761	10297
287	5776	10269
288	5790	10237
289	5804	10207
290	5820	10181
291	5844	10168
292	5864	10148
293	5888	10134
294	5919	10132
295	5950	10132
296	5985	10137
297	6035	10167
298	6071	10173
299	6101	10168
300	6133	10167
301	6167	10170
302	6196	10164
303	6241	10183
304	6269	10174
305	6289	10154
306	6304	10124
307	6318	10093
308	6330	10059
309	6346	10031
310	6360	10000
311	6373	9969
312	6388	9939
313	6401	9908
314	6417	9881
315	6432	9852
316	6445	9820
317	6458	9789
318	6473	9760
319	6489	9733
320	6502	9703
321	6515	9671
322	6529	9642
323	6544	9615
324	6558	9585
325	6573	9557
326	6586	9527
327	6601	9499
328	6614	9468
329	6626	9438
330	6640	9409
331	6653	9378
332	6665	9347
333	6696	9342
334	6788	9422
335	6822	9421
336	6845	9405
337	6868	9388
338	6883	9361
339	6901	9336
340	6915	9308
341	6931	9282
342	6949	9259
343	6964	9232
344	6982	9208
345	6999	9184
346	7020	9165
347	7035	9137
348	7048	9109
349	7064	9083
350	7085	9063
351	7107	9046
352	7137	9038
353	7157	9017
354	7172	8990
355	7185	8961
356	7198	8933
357	7213	8905
358	7228	8880
359	7245	8855
360	7262	8832
361	7277	8805
362	7296	8783
363	7317	8765
364	7339	8747
365	7355	8722
366	7373	8699
367	7389	8674
368	7411	8656
369	7427	8632
370	7445	8609
371	7463	8587
372	7477	8560
373	7493	8535
374	7512	8514
375	7532	8494
376	7550	8471
377	7571	8452
378	7588	8429
379	7608	8409
380	7626	8386
381	7642	8363
382	7661	8341
383	7678	8318
384	7694	8293
385	7710	8269
386	7730	8250
387	7748	8228
388	7764	8204
389	7781	8180
390	7802	8161
391	7815	8134
392	7828	8107
393	7841	8079
394	7855	8054
395	7871	8030
396	7887	8006
397	7907	7986
398	7931	7971
399	7955	7955
400	7969	7930
401	7986	7906
